ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_inops.1,2094.0,0.7094345901806363,0.0008405305910808306,0.0006692978012599989
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.96,2083.0,0.702152553537332,0.0010279905767565938,0.0012413172702658644
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,2295.0,0.686101303128829,0.0018511711826772143,0.0016385836415611142
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.286,2287.0,0.6850670240045524,0.005377809067687945,0.003996100844058125
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.7,2278.0,0.677867983250297,0.000610706768045617,0.00048294872093366804
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.17,2280.0,0.6759546157343723,0.00047442701294558403,0.0004625073251136629
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_tayi.1,2110.5,0.6731169579336987,0.00015945963607339595,0.0002982161103559511
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.54,2235.0,0.6624617730508302,9.25292029420655e-05,0.0003367875286843618
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.35,2091.5,0.655883262279054,0.0002612560652238257,0.00028517560193068545
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.34,2299.0,0.654275583171855,0.0011985095088271863,0.0011370398057311043
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.30,2080.0,0.6535827212976879,0.0007891071137665338,0.002269574906005793
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.3,2102.5,0.6480611533904452,0.00047611201629354025,0.0013040456099100404
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.22,2104.5,0.6479955161151001,0.0011135553128208177,0.0008965739219194108
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.2,2057.5,0.6461851147454444,0.01901577641272362,0.008394472063340345
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_NA.19,2063.0,0.6455539853760763,0.0007721411092566798,0.0009796485585604425
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_edouardi.1,2311.0,0.6448850130147216,0.0037710952938299156,0.0024315059498486173
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.68,2249.5,0.6448335363819692,9.651852121781935e-05,8.168412948639505e-05
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.9,2076.0,0.6411187554776523,0.0004288294819608048,0.00046370365191841475
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.64,2054.0,0.6370841424110116,0.0046037321882868385,0.004833155845355856
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-AD3011-group_NA.12,2279.0,0.6367554647471994,0.0003597136316945764,0.0002637224809120933
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.1,2097.0,0.6300408469046682,0.0007701586586207318,0.000464076998686475
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,2076.0,0.6255427170910115,0.008452419479035961,0.001745040582137427
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.49,2110.0,0.6243286840980196,0.00010253826953672601,0.0002550202025483717
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.2,2107.0,0.6231638767171976,0.0003662063742473798,0.0005535407880677982
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.44,2293.5,0.6207275381129477,0.0007753871806588656,0.000963872361260657
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.10,2291.0,0.6204808940873259,0.0003138825936852565,0.00029470260774143843
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.37,2079.0,0.6202473810853139,0.00019117973189440942,0.0005128410875324359
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.102,2312.5,0.6142367023589584,0.0007647620434424804,0.0006504943705582807
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.353,2105.0,0.614108485711811,0.000522566801903102,0.00037931093198263245
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.83,2095.5,0.6110603297368682,0.00012590677529406867,0.00029652266068171975
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.82,2092.0,0.6103937273878475,0.0003905731960145752,0.0008519527859837861
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-eligens-group_NA.15,2325.5,0.6074792045026438,0.005590373687941113,0.003925023661889391
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_senegalensis.1,2092.0,0.6016388875656322,0.00015749737332814936,0.0002153873359874355
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.6,2270.0,0.601057330723356,0.0002580939064637308,0.0003603615045204488
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.51,2331.0,0.5935452337917193,0.011553493107187276,0.011628086688004675
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_copri.3,2271.0,0.5910329573718478,0.0006707290094443533,0.0012171202352918168
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.62,2036.0,0.590768796156523,0.002410062977604367,0.0030863521378416184
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.1,2070.0,0.5904566545288841,0.00034840871049864877,0.0008892580583923411
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-hallii-group_NA.10,2048.0,0.5890436229399597,0.0006040798692027174,0.0004589672112463789
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.25,2038.0,0.5883307648813654,0.0008413729270142848,0.0007921012090065531
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.13,2034.5,0.5871340672320339,0.003362867766974198,0.003266173314693684
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.5,2102.0,0.5871104369332163,7.831261809685341e-05,0.0003065355269668519
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_NA.1,2278.0,0.5839710097674294,0.00017048835839190022,0.0006393391340829387
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.16,2060.0,0.5832461064871155,0.0008942955889804795,0.0007416832752475099
