ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean,Cancer_pooled_stdev,Cancer_cohens_d
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.104,17898.0,4.868023949719824e-08,0.002015465615786233,0.0011662572842373747,0.002904049681862211,0.29242210863428014
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.44,15886.0,1.697903304204502e-05,0.0009603059658925127,0.00016027888968253603,0.0027983401737979286,0.2858934320069364
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.22,15448.0,0.002043104992655666,0.0015727163516810554,0.0003673333577390381,0.004223132375588106,0.28542391920029686
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.6,15248.0,0.001738412851685659,0.0006487501210114469,0.0002892966626753427,0.0012636192548596294,0.2844634227863475
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.36,14488.0,0.025433952347097884,0.0006968915895881152,0.0001751710327527427,0.0018373095272863247,0.283958989537242
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.30,15973.0,1.0494870158046272e-06,0.0013551591836629465,1.247945508703374e-05,0.004731529962224021,0.2837728471119722
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_nordii.1,14688.0,0.0016072069817267994,0.0003951103678759098,7.316806414929838e-05,0.0011389399870882682,0.2826683647745707
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.10,15200.0,2.8082593967221974e-05,0.0004882920026439198,0.0,0.0017319871252505943,0.28192588473962865
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.48,14208.0,0.20190928577831846,0.0016834570035009885,0.001315173326060721,0.0013120872278611822,0.280685361171149
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.28,16277.5,0.0001481177479149683,0.002240845609990054,0.0011658525663661092,0.003949462944645084,0.2721871451108268
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.6,14820.0,0.000173032396692891,0.00037154761458920875,0.0,0.0013688015758399352,0.2714400839005585
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.47,14388.5,0.013062504844947701,0.00023444255924956334,5.8719936856371396e-05,0.0006485093663407856,0.27096389275718086
