ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean,MSI_pooled_stdev,MSI_cohens_d
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_stercoris.1,2010.0,0.5218899790223415,0.009384166348431016,0.004906822855661727,0.018251697498766123,0.24531107274115038
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_intermedia.3,2917.5,3.617279474830181e-05,0.006724508123515718,0.0015524155923649057,0.02130562489698308,0.24275713836880658
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.34,2412.5,0.22898456753821883,0.0012226225637892855,0.00044320045043896243,0.0032641929644095027,0.2387794232291416
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_NA_NA_NA.4,2481.0,0.06979105469350388,0.0004948847056628097,0.0002472369024651485,0.001039048528394059,0.23834094022578772
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_salyersiae.1,2522.0,0.06912696200142947,0.0007878252144285185,0.00034981319578615024,0.001842378516908337,0.2377426867619953
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_massiliensis.1,2353.0,0.23211530542998426,0.0002732135915414227,0.00010381548975159532,0.0007246871258622941,0.23375343061084897
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_longicatena.1,2493.0,0.2610646385790316,0.009030608370124432,0.007736694641060028,0.0055524422920087005,0.23303506115257733
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.1,2026.0,0.3563111235922265,0.00211072515750079,0.0005464723469292318,0.007364347272068045,0.21240888741145517
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.2,2057.5,0.6461851147454444,0.01901577641272362,0.008394472063340345,0.05001777759548743,0.21235058533151466
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.31,2339.0,0.44378918536311107,0.002040035357818402,0.0008713381781106831,0.00551131703219962,0.2120540649140049
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_putredinis.1,2265.0,0.7693197170528041,0.017123870884170476,0.014246137306399282,0.013752512900454948,0.20925147270183586
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.307,2435.0,0.3097663640196592,0.004507386752333408,0.0016384179412414902,0.013742017362933148,0.20877348174733742
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_comes.1,2453.0,0.3279966718404328,0.005320162189823233,0.004776366840834423,0.002733336759905457,0.19894926851516823
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.1,2165.0,0.9462662382543521,0.023751028637238426,0.018804275986854007,0.026001412012282114,0.19024938522753126
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.1,2686.0,0.01220640432291807,0.0009700873098601666,0.0006028238997506806,0.0019554302555845598,0.1878171870669433
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Family-XI_Parvimonas_micra.1,2836.5,0.0021345082467136385,0.0011323400898703713,0.0006994411359886019,0.0023268174639773107,0.18604766406635095
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.31,2067.5,0.5321600312412602,0.0003751005808372443,0.00019517388817753915,0.0010073909923359152,0.17860661255516616
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-004_NA.7,2240.0,0.83949939127582,0.0016864617310205939,0.0013788151234761267,0.0017390092223986235,0.17690912939502917
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.48,2384.0,0.46679730066421443,0.0020787026984554337,0.001763552902052395,0.0017978097433926326,0.17529652265001183
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-hallii-group_NA.10,2048.0,0.5890436229399597,0.0006040798692027174,0.0004589672112463789,0.0008621779333523521,0.16830940846758405
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.290,2339.0,0.5334280637379398,0.006319873175350883,0.0033507975613220023,0.017844917034212184,0.16638214727121367
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-eligens-group_NA.13,2124.0,0.8283934646845542,0.005326179238677789,0.00437728211893362,0.005826155799562634,0.16286847664036075
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.27,2704.0,0.05841638974642819,0.01025249831035212,0.008225542830768165,0.013001027298972095,0.15590733201092596
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-AD3011-group_NA.12,2279.0,0.6367554647471994,0.0003597136316945764,0.0002637224809120933,0.0006485244366511182,0.14801470130896976
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bicirculans.1,2123.0,0.8248763466040929,0.003701571937348079,0.002951480115054415,0.005102417066818751,0.14700715611264803
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.4,2423.0,0.3847347072075523,0.0039237802456391245,0.0032634149229749843,0.004856000901163886,0.13598953873873126
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_splanchnicus.3,2192.0,0.9761455199482011,0.0006612035917924391,0.0005440682683051856,0.0008947864916675786,0.1309086855669368
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,2295.0,0.686101303128829,0.0018511711826772143,0.0016385836415611142,0.00164466829425658,0.12925861212165793
