clin_var,community,real,prob,fisher_p
Stage,12,"[2, 1, 1, 0, 0]","[1.3818181818181818, 1.12, 0.7272727272727273, 0.6254545454545455, 0.14545454545454545]",1.0
Stage,13,"[1, 1, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
Stage,18,"[1, 1, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
Stage,21,"[2, 1, 1, 0, 0]","[1.3818181818181818, 1.12, 0.7272727272727273, 0.6254545454545455, 0.14545454545454545]",1.0
Stage,22,"[1, 1, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
Stage,23,"[4, 3, 3, 0, 0]","[3.4545454545454546, 2.8000000000000003, 1.8181818181818183, 1.5636363636363637, 0.36363636363636365]",0.7347853385005045
Stage,27,"[2, 1, 0, 0, 0]","[1.0363636363636364, 0.8400000000000001, 0.5454545454545454, 0.4690909090909091, 0.10909090909090909]",1.0
Stage,32,"[1, 1, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
Stage,33,"[1, 1, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
Stage,50,"[2, 0, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
