ASV,MannWU_stat,p_value,Local_right_colon_pos_mean,Local_right_colon_neg_mean,Local_right_colon_pooled_stdev,Local_right_colon_cohens_d,Local_right_colon_cliffs_delta
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.20,5405.5,0.05388997247072899,0.001310395634759014,0.0017903673878539026,0.0017262265517898675,-0.27804679090193674,0.16193798449612404
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.38,7490.5,0.054021253693403076,0.004386375477508884,0.002679000869745366,0.007537615326973602,0.22651389513784578,-0.16131782945736434
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.30,7463.5,0.05700191701556302,0.001976678328451276,0.005332667938063116,0.0212690266559446,-0.15778764415972255,-0.15713178294573643
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_massiliensis.1,5909.0,0.05865090140582212,9.17438677209401e-05,0.00024070383276421643,0.0005821712951101601,-0.25586964918132854,0.08387596899224806
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.44,7342.0,0.05895048117846222,0.0019467992044930986,0.0038280381833510134,0.010714551951218012,-0.1755779417956958,-0.13829457364341086
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.15,5939.5,0.06044683507840795,0.00011792272016455372,0.0006807939174442878,0.0020525113180029377,-0.2742353683230352,0.07914728682170542
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-ND3007-group_NA.9,7471.0,0.0609989031417749,0.003306337403288146,0.0028381132058086277,0.001619294727330881,0.28915316623756465,-0.15829457364341085
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.8,7454.5,0.06223697537941037,0.0027733270534721854,0.002902249067920792,0.005776899163501307,-0.022316819248489078,-0.15573643410852714
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Family-XI_Parvimonas_micra.1,5658.0,0.06271549664414992,0.0007127349306472403,0.0005590286454565353,0.0019926300436836713,0.07713739220079018,0.12279069767441861
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.18,7355.0,0.06326669903261183,0.004350392183456563,0.0021860243521526837,0.01813248995895607,0.11936407168585507,-0.14031007751937985
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_NA_NA.2,7455.5,0.06363899518772448,0.0018632235052717689,0.0014444056829906661,0.001906470404713714,0.21968230990923496,-0.15589147286821706
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.22,7149.0,0.06445619625451368,0.004114558419609716,0.0003567644368022366,0.021092655721200067,0.1781565125073629,-0.10837209302325582
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.10,7239.0,0.06747548822556547,0.0012513159706747739,0.00033717791529505804,0.0036098775175746516,0.25323242988972455,-0.12232558139534884
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.120,5866.0,0.06761060317502668,0.00027550130852606726,0.00021541470034858632,0.001250282898563818,0.04805841001784601,0.09054263565891472
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.3,7261.0,0.06804326118434766,0.001495899713576608,0.00037562306728909715,0.004013678479880246,0.27911469538559947,-0.12573643410852714
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.128,7442.0,0.06838197931763168,0.004773551504697438,0.002959874218792064,0.00689794333728115,0.2629301513833893,-0.1537984496124031
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-ruminantium-group_NA.2,7437.0,0.06996387544026705,0.004912904176007389,0.0037613489059299624,0.005049864501072941,0.22803686511445143,-0.15302325581395348
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.1,5741.0,0.0700252116998608,0.0005801472163009165,0.0005883715376376403,0.0017376340044319963,-0.0047330573157218225,0.10992248062015504
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_salyersiae.1,5815.0,0.07313961100639907,0.00036735260066854067,0.0006067071514650203,0.0018489043911534512,-0.12945750572162182,0.09844961240310078
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.51,5481.0,0.0753977394323529,0.010670250438903477,0.01326133815738606,0.00840274037236118,-0.3083622251385216,0.15023255813953487
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.374,5809.0,0.08038877749248279,0.00036516180946430117,0.001905565649018995,0.005483514298489028,-0.28091544139479113,0.0993798449612403
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_faecis.1,5499.0,0.08098632601995878,0.004184956228343596,0.005591363925272031,0.004254746040451785,-0.33055032745952034,0.1474418604651163
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.91,6967.0,0.0885807532005303,0.0003079683408894657,0.00019367763206315952,0.0013526629477424966,0.08449311708955261,-0.08015503875968992
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.64,5573.0,0.09093813969108652,0.001457687421732519,0.003098425717226098,0.006022819436092262,-0.2724203029666329,0.13596899224806203
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3,7367.0,0.09245794684710662,0.022025128384828768,0.018406484292605843,0.016227323089136617,0.22299698307266871,-0.14217054263565893
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_formicigenerans.1,5554.5,0.10029682131163332,0.0018790828997723428,0.0021508546879181216,0.0012906024546437444,-0.2105774610670473,0.13883720930232557
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.5,6963.0,0.10418404579482352,0.0004225543475261659,9.781345168674181e-05,0.0012119632558792903,0.2679461561760151,-0.07953488372093023
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.4,7318.0,0.1097362454841402,0.003932064938131336,0.0034711616618862177,0.007098626199706313,0.06492851761432196,-0.1345736434108527
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.15,7316.0,0.11203104595523017,0.004466553185762577,0.0038493978891541445,0.006397701925773697,0.09646515323293962,-0.13426356589147287
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.1,7017.0,0.11277520260422924,0.00048041510427968486,0.0003894090173638988,0.002010008811640148,0.04527646166960132,-0.08790697674418604
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_intestinihominis.2,5773.5,0.11362718401245749,0.0006127761293513905,0.001640588159307845,0.004003918937394521,-0.2567015082041808,0.10488372093023256
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.305,6005.5,0.11439255026277766,0.0003207178145775638,0.0006935483072305181,0.0030164133894923007,-0.12360059597657014,0.06891472868217054
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.4,7256.5,0.11864789138693692,0.001836811779662553,0.002219708619896226,0.007990197569700623,-0.04792082259463068,-0.12503875968992248
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.142,7294.0,0.12148712515665354,0.010463916870219359,0.009490619041032025,0.01166643450179561,0.08342718840426613,-0.13085271317829458
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_inulinivorans.1,7293.0,0.12193126355185506,0.00650830342392054,0.005150734581758172,0.005209633479519141,0.26058816757444414,-0.13069767441860466
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.31,7078.0,0.12404319581031505,0.001231850854053013,0.00029041754024810163,0.0033499898808952914,0.2810257186667416,-0.09736434108527131
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.5,6978.0,0.12551428435484333,0.0006635748161480017,6.65952200468712e-05,0.0017918063646342448,0.3331719363676833,-0.08186046511627906
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.113,7253.0,0.1343479811881623,0.0024665648641006024,0.0017774402632472633,0.0034019216210586438,0.20256921752326862,-0.12449612403100775
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.48,7183.0,0.14475749456513168,0.000889642021846008,0.0007409826197208722,0.0017393559015993433,0.08546807584833156,-0.11364341085271318
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.66,6864.0,0.14803027019565487,0.0002754015366622951,0.0001739744938736303,0.0012988111726926186,0.07809221611359582,-0.0641860465116279
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Adlercreutzia_equolifaciens.3,6758.5,0.15076931133128096,5.5256261828799365e-05,2.028759697471354e-05,0.00019458306147316856,0.17971073427122394,-0.047829457364341084
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.2,7223.0,0.15156310287364705,0.0027589861204357774,0.0021873415490706936,0.003809974408410907,0.1500389530447029,-0.11984496124031008
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.18,6943.0,0.1526075409947001,0.00024411669579114305,0.00011645979561148672,0.0005568552145410417,0.22924612510788955,-0.07643410852713178
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_nordii.1,5957.5,0.1530245306879632,0.0003897097007987303,0.00041446275823580313,0.0013682043600361333,-0.018091637594561606,0.07635658914728682
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia_NA.10,7214.5,0.1591485659686529,0.001864066294283747,0.0013176708647699722,0.0018560764457330073,0.29438196404566236,-0.11852713178294573
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.2,6132.0,0.16257822255613008,0.0002344953298421529,0.00023018601539103576,0.0017608975641170172,0.0024472260845439906,0.04930232558139535
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.304,5777.0,0.16528698883689308,0.0030928848683440145,0.004508488167932264,0.016392169103227782,-0.08635851001009398,0.10434108527131783
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.22,7114.5,0.1675202194063754,0.001840862413416454,0.0006118596304625437,0.0047576257046945125,0.2583227137311813,-0.10302325581395348
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.2,6865.0,0.1717406951941174,0.0006946166540591892,0.0003611795882544187,0.0027689543095838205,0.12041985115127694,-0.06434108527131784
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.37,5886.0,0.17192529791217825,0.00038941519190131396,0.0006369797102621087,0.0015024930532706521,-0.16476916004496134,0.08744186046511628
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.63,6945.0,0.1735245513692386,0.0003868478948414912,0.00011029597214952149,0.0007300822827884974,0.37879555388702124,-0.07674418604651163
