ASV,MannWU_stat,p_value,Local_left_colon_pos_mean,Local_left_colon_neg_mean,Local_left_colon_pooled_stdev,Local_left_colon_cohens_d,Local_left_colon_cliffs_delta
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_formicigenerans.1,6571.0,0.134624741132756,0.00196143402893935,0.0018395060821666531,0.001346110099715006,0.09057798971905111,-0.1333218351155571
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.2,5025.0,0.13466130450178967,0.009128235336978601,0.011306264806485845,0.024157552450644174,-0.09015936005756929,0.1333218351155571
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.3,6345.5,0.14012682585455521,0.0005708962315049415,0.0005655136088979658,0.0017908039100998218,0.0030057018396144014,-0.09442911348740946
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.32,6518.5,0.14042691146334793,0.0010634379558550674,0.0008054326412843707,0.0016214759782404958,0.15911756821131864,-0.1242669886167644
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.383,6221.0,0.14176609120320896,0.0009498482797062519,0.00012134287044497035,0.005650529128935747,0.1466243939914574,-0.0729561917902725
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Sellimonas_intestinalis.1,5256.5,0.14452761098194353,0.00028981095944323427,0.0004263799818257861,0.0008520733966085444,-0.1602784724017076,0.09339427388754742
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.1,5305.0,0.14590683647874456,0.0004053975048473412,0.0006971181707886362,0.0020538194009149303,-0.14203812945351474,0.08502932045532942
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.18,5050.0,0.1477806276550857,0.007147718199342696,0.009968984070858784,0.009749382916059313,-0.2893789171896061,0.12901000344946534
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.40,6245.0,0.1495415706922786,0.00034243859714573746,0.00014742608075715813,0.0010817491187972805,0.18027517933677617,-0.0770955501897206
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.142,6542.0,0.14995873052899575,0.010638502906621482,0.008592175411201788,0.01092755065901391,0.18726314425563614,-0.12832011038289065
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.10,6272.5,0.15421363457836998,0.00042854948720516653,0.0007444954823139582,0.0034303150928412358,-0.09210407398671422,-0.08183856502242152
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.17,6522.0,0.16121378647129525,0.005949407359113089,0.005197406058649544,0.006066971753002504,0.12395002500075669,-0.12487064505001724
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae-Sedis_NA.23,6513.5,0.1640046092259917,0.0013957725829795518,0.0012051210327647466,0.0013561682460972605,0.14058104572456726,-0.12340462228354605
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.30,6324.0,0.16938583967392185,0.0014931158525343412,0.0007635373152336948,0.005629008601327506,0.1296104854287463,-0.09072093825457055
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.64,5122.0,0.1694074736996406,0.001828951675553228,0.0017586945203401456,0.003994094573474189,0.017590258297757462,0.11659192825112108
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.19,6506.5,0.17039164241805627,0.004745776011179387,0.003041584752721272,0.00432062028062259,0.39443208330553525,-0.12219730941704036
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.3,6369.0,0.17551660407846814,0.001422418374755438,0.0005183947093433433,0.004062045883933766,0.22255377985455452,-0.09848223525353571
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_nordii.1,6238.5,0.1777090987655774,0.0004414959889360155,0.00019618741602199513,0.0013204273584466399,0.18577968060477262,-0.07597447395653674
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.118,6204.0,0.18554652757644752,0.0003836480664054054,0.00016920651077094874,0.0011586357182426493,0.18508108481215224,-0.07002414625733011
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.136,6281.5,0.18676183702402527,0.0021219404459735486,0.0007981442200372915,0.008869358422041092,0.14925501518199033,-0.08339082442221456
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.374,6255.0,0.18872763797418557,0.0007905465337065539,0.00031830482614236355,0.0030363816560499825,0.15552778308459678,-0.07882028285615729
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Bacteroides-pectinophilus-group_NA.1,5433.0,0.1921682994447269,0.00026662617075021096,0.00034062752915345497,0.0012243372299942856,-0.06044197349417317,0.06295274232493964
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.62,6471.0,0.19259078678067376,0.003199416947023742,0.002393993502556688,0.0031162657669195045,0.2584578802671353,-0.11607450845119006
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.6,6343.0,0.19424458030508662,0.0008827832855385631,0.00038422900930126867,0.0022179635467321403,0.22478019396299123,-0.09399793032080028
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.34,6429.0,0.19610510146880256,0.0012738409920943314,0.0007356631527559825,0.001663443537534622,0.3235323755779403,-0.10883063125215592
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.51,5397.0,0.19612175472121252,0.00016738485010905826,0.0002505968064370543,0.0005680084247778645,-0.14649775020597341,0.06916177992411177
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.14,5360.0,0.19644344364904076,0.0003745448333162566,0.0007886406738045499,0.0022004649434973047,-0.18818561127820144,0.07554329078992757
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae-NK3B31-group_NA.14,6152.5,0.19849472683167302,0.0010874533693249668,0.00023406001979993333,0.006846233185734226,0.124651516589193,-0.0611417730251811
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-eligens-group_NA.13,6460.0,0.20022867897341357,0.004525617412033136,0.003937690444649093,0.004364196490575259,0.13471597089033588,-0.11417730251810969
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.68,6114.0,0.20321865029602004,7.891306093269614e-05,3.8710975852387755e-05,0.00023459194908610626,0.1713702675514765,-0.054501552259399795
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.46,5393.5,0.20674826352149855,0.00022647641752322715,0.0006703532276877088,0.002384657310937428,-0.1861386154432354,0.06976543635736461
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.13,6236.5,0.21090813346904425,0.00017428935593657784,9.905937610182403e-05,0.000353943874899023,0.21254776581800222,-0.0756295274232494
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.18,6206.5,0.21136624503026935,0.0002279267355741297,0.00016625029420680833,0.0006030122549108478,0.10228057699497317,-0.07045532942393928
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.5,5154.0,0.21275124222003905,0.03594271395309515,0.03932885965247346,0.02660480346619401,-0.12727572686943497,0.11107278371852362
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.18,6266.0,0.21316993417410313,0.0005532506069908492,0.0003550282377565712,0.001500034586244577,0.1321451992187321,-0.08071748878923767
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.12,6426.5,0.21681062400089202,0.0015801551269882944,0.0011059429405192028,0.0015722083941116705,0.301621711374357,-0.10839944808554675
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.36,6270.0,0.2175868952167247,0.0007917265220081169,0.0002901956294023391,0.0020438378854574905,0.2453868265063086,-0.08140738185581235
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.396,5387.0,0.2214107673841642,0.0005646436715023335,0.0018076581241899597,0.006386167380176854,-0.19464169644942866,0.07088651259054847
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae-Sedis_NA.20,6406.0,0.2260880881693983,0.0013289991730562579,0.0007845179248687902,0.0034898159827496515,0.15602004543473577,-0.1048637461193515
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.48,6421.5,0.22697027767709133,0.0017294174640601315,0.0014863573361031251,0.00156438883581315,0.15537066130407834,-0.10753708175232839
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae-RC9-gut-group_NA.48,6375.0,0.22931954195433846,0.005780798774303366,0.002903095538793889,0.015824691371815552,0.18184893265184238,-0.09951707485339772
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.2,5188.0,0.23272478877440084,0.0025300491787407977,0.003081183499591074,0.0042745610165950635,-0.12893354866397183,0.10520869265263884
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_NA.18,6379.0,0.23585979608935725,0.0007361913719871525,0.0004947873283993151,0.0008527938539872619,0.2830743238347063,-0.1002069679199724
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.22,6176.5,0.2374820727925071,0.0004013657327355328,0.000455848348295266,0.002246363775934719,-0.024253692186192263,-0.06528113142462919
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.320,6255.0,0.23794792375489238,0.0005336462073712917,0.0008138588146221878,0.003351496725077959,-0.08360819963038398,-0.07882028285615729
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.3,6382.0,0.2385526237849721,0.0015174276358434777,0.0009052713941338274,0.0043040276970189965,0.1422286947952576,-0.10072438771990341
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_muciniphila.2,6390.5,0.24072934423010628,0.009493566419542708,0.005134210939333762,0.022854323957518526,0.19074532628101748,-0.10219041048637462
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.3,6202.5,0.2408987422369292,0.0009657678807306661,0.0017178721794952254,0.008606930354681819,-0.08738356972476781,-0.06976543635736461
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.277,6382.5,0.24157144653462348,0.003279180908029692,0.0012062511944210064,0.011565380702010686,0.17923575254624335,-0.10081062435322526
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-003_NA.9,5281.0,0.24848352965155074,0.0007326855083845877,0.000939622216832123,0.0018712468237875451,-0.11058760705264936,0.08916867885477751
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.2,5554.5,0.2596266215122873,0.00024771722858232765,0.00017282143972434518,0.0016997291026186693,0.044063367946453984,0.0419972404277337
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.64,5216.0,0.26017045787128734,0.004828214227469208,0.00535158016917018,0.0050498411959871104,-0.10364007923989138,0.10037944118661607
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_comes.1,6374.5,0.26470777918907573,0.00483570249663194,0.004240777205469486,0.002323958468769514,0.2559965245323227,-0.09943083822007588
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.33,6118.0,0.26654126985176785,0.00041899239577841154,5.617064355923103e-05,0.001592308644013489,0.22785893525307452,-0.055191445325974475
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter_saccharivorans.1,6371.0,0.2676219526276833,0.017936564119639616,0.01617831800127695,0.012410933321644828,0.14166912937129886,-0.09882718178682304
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.22,5228.0,0.2701220436425087,0.0040996571680261655,0.004875364268042197,0.003806416144293256,-0.20378935739304416,0.09830976198689204
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_merdae.1,6367.0,0.27097899210830323,0.00822133140661675,0.007879169045554678,0.009515384428675907,0.03595885837580243,-0.09813728872024836
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.21,5317.0,0.27578164190284415,0.000804835294703445,0.0008379688840362598,0.0019726362614672175,-0.016796603600995635,0.08295964125560538
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Senegalimassilia_NA.7,5371.0,0.2780499931328849,0.00039092109444954564,0.0005016025710107637,0.0010260401698769424,-0.10787245939356604,0.07364608485684719
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.305,6086.5,0.28009687766684566,0.0004415976779888437,0.00023251819954798404,0.0024600893447308783,0.08498857120318608,-0.04975853742669886
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.13,5242.0,0.28208929048689513,0.017018072360499816,0.017726892040051605,0.01665110188290033,-0.04256893534954008,0.09589513625388064
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-ruminantium-group_NA.2,6351.0,0.2844141665240597,0.004650502981291957,0.004709483987870768,0.006452938981428034,-0.009140177328278163,-0.09537771645394964
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.33,5412.0,0.28868039130744083,0.000296282742691598,0.0002932655322943689,0.0007485247215267306,0.004030876082589494,0.0665746809244567
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.1,6187.0,0.29471829844078956,0.0005368617325181805,0.0007752649502192542,0.0023558069205554515,-0.1011981141667005,-0.06709210072438772
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bicirculans.1,6337.0,0.2953436072656691,0.00292944916091646,0.002828824877131157,0.0038141602455711836,0.02638176618356376,-0.09296309072093825
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.339,6039.0,0.3009701288037453,0.00034889582494790865,7.138282924239494e-05,0.002303856568412189,0.12045584760373118,-0.04156605726112453
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_inops.1,6255.5,0.302927979661503,0.0006542880982615412,0.0005434497962265581,0.001394460057965196,0.07948474493899739,-0.07890651948947913
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.1,5398.5,0.30500138138833843,0.003142678338724187,0.002533348019623697,0.0186209488297085,0.032722839457479384,0.06890307002414625
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.307,6271.0,0.30837274067147147,0.0019246404453189053,0.0013000811268648142,0.00830770208809269,0.07517834797534001,-0.08157985512245602
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.16,5373.0,0.31345314925688017,0.0005388362609176605,0.0013740893241438147,0.0038897431590627345,-0.21473218900844218,0.07330113832355985
