clin_var,community,real,prob,fisher_p
Age_4grp,20,"[2, 1, 0, 0]","[1.2000000000000002, 0.9818181818181818, 0.4636363636363636, 0.35454545454545455]",1.0
Age_4grp,21,"[1, 1, 0, 0]","[0.8, 0.6545454545454545, 0.3090909090909091, 0.23636363636363636]",1.0
Stage,0,"[6, 5, 5, 4, 1]","[6.49090909090909, 5.918181818181818, 4.2, 3.8181818181818183, 0.5727272727272728]",1.0
Stage,1,"[2, 1, 1, 0, 0]","[1.2363636363636363, 1.1272727272727272, 0.8, 0.7272727272727273, 0.10909090909090909]",1.0
Stage,2,"[4, 1, 0, 0, 0]","[1.5454545454545454, 1.409090909090909, 1.0, 0.9090909090909092, 0.13636363636363635]",0.6825396825396807
Stage,3,"[2, 1, 0, 0, 0]","[0.9272727272727272, 0.8454545454545455, 0.6000000000000001, 0.5454545454545454, 0.08181818181818182]",1.0
Stage,4,"[1, 1, 0, 0, 0]","[0.6181818181818182, 0.5636363636363636, 0.4, 0.36363636363636365, 0.05454545454545454]",1.0
Stage,5,"[2, 0, 0, 0, 0]","[0.6181818181818182, 0.5636363636363636, 0.4, 0.36363636363636365, 0.05454545454545454]",1.0
Stage,6,"[2, 1, 0, 0, 0]","[0.9272727272727272, 0.8454545454545455, 0.6000000000000001, 0.5454545454545454, 0.08181818181818182]",1.0
Stage,7,"[1, 1, 0, 0, 0]","[0.6181818181818182, 0.5636363636363636, 0.4, 0.36363636363636365, 0.05454545454545454]",1.0
Stage,8,"[2, 2, 0, 0, 0]","[1.2363636363636363, 1.1272727272727272, 0.8, 0.7272727272727273, 0.10909090909090909]",1.0
Stage,9,"[1, 1, 0, 0, 0]","[0.6181818181818182, 0.5636363636363636, 0.4, 0.36363636363636365, 0.05454545454545454]",1.0
Stage,10,"[2, 2, 2, 1, 1]","[2.4727272727272727, 2.2545454545454544, 1.6, 1.4545454545454546, 0.21818181818181817]",1.0
Stage,11,"[1, 1, 0, 0, 0]","[0.6181818181818182, 0.5636363636363636, 0.4, 0.36363636363636365, 0.05454545454545454]",1.0
Stage,12,"[1, 1, 0, 0, 0]","[0.6181818181818182, 0.5636363636363636, 0.4, 0.36363636363636365, 0.05454545454545454]",1.0
Stage,13,"[7, 6, 6, 2, 1]","[6.8, 6.199999999999999, 4.4, 4.0, 0.6]",0.8786904434054311
Stage,14,"[1, 1, 1, 0, 0]","[0.9272727272727272, 0.8454545454545455, 0.6000000000000001, 0.5454545454545454, 0.08181818181818182]",1.0
Stage,15,"[2, 1, 0, 0, 0]","[0.9272727272727272, 0.8454545454545455, 0.6000000000000001, 0.5454545454545454, 0.08181818181818182]",1.0
Stage,16,"[3, 2, 1, 0, 0]","[1.8545454545454545, 1.690909090909091, 1.2000000000000002, 1.0909090909090908, 0.16363636363636364]",1.0
Stage,17,"[2, 1, 1, 1, 0]","[1.5454545454545454, 1.409090909090909, 1.0, 0.9090909090909092, 0.13636363636363635]",1.0
Stage,18,"[1, 1, 1, 0, 0]","[0.9272727272727272, 0.8454545454545455, 0.6000000000000001, 0.5454545454545454, 0.08181818181818182]",1.0
Stage,19,"[1, 1, 1, 0, 0]","[0.9272727272727272, 0.8454545454545455, 0.6000000000000001, 0.5454545454545454, 0.08181818181818182]",1.0
Stage,20,"[2, 1, 0, 0, 0]","[0.9272727272727272, 0.8454545454545455, 0.6000000000000001, 0.5454545454545454, 0.08181818181818182]",1.0
